time,Actual,Simulation,Error,0.046142998,0.965537043,,MAE,MSE,,MAE %,MSE ,MR %,Coef,R-square
3:52,500.8819631,500.87565,0.001260399,500.437825,0.088671211,,0.001260397,3.98552E-05,,,,,,
3:54,500.8784048,500.8813,0.00057803,500.44065,0.087397419,,0.000578025,8.38218E-06,,,,,,
3:56,500.8748464,500.88257,0.001542015,500.441285,0.086560825,,0.001542022,5.9654E-05,,,,,,
3:58,500.8712881,500.88315,0.002368254,500.441575,0.085793119,,0.002368253,0.000140705,,,,,,
4:00,500.8677298,500.88319,0.003086691,500.441595,0.085079308,,0.003086683,0.000239018,,,,,,
4:02,500.9339232,500.95165,0.003538743,500.475825,0.091448828,,0.00353875,0.000314239,,,,,,
4:04,501.0001167,501.02012,0.003992671,500.51006,0.097815686,,0.003992674,0.000400132,,,,,,
4:06,501.0663102,501.0861,0.003949539,500.54305,0.104429332,,0.003949537,0.000391636,,,,,,
4:08,501.1325037,501.15145,0.003780704,500.575725,0.111104088,,0.003780697,0.000358962,,,,,,
4:10,501.1986971,501.21903,0.004056846,500.609515,0.117554595,,0.004056854,0.000413427,,,,,,
4:12,501.2648906,501.28615,0.004241147,500.643075,0.124049302,,0.004241151,0.000451962,,,,,,
4:14,501.3310841,501.35261,0.00429375,500.676305,0.130608119,,0.004293749,0.000463364,,,,,,
4:16,501.3972776,501.41959,0.00445005,500.709795,0.137113349,,0.004450044,0.000497843,,,,,,
4:18,501.463471,501.48529,0.004351055,500.742645,0.143744468,,0.004351065,0.000476069,,,,,,
4:20,501.5296645,501.54935,0.003925087,500.774675,0.150537357,,0.003925092,0.000387519,,,,,,
4:22,501.595858,501.60423,0.001669073,500.802115,0.158243532,,0.001669073,7.00904E-05,,,,,,
4:24,501.6620515,501.65593,0.001220239,500.827965,0.166264619,,0.001220244,3.74728E-05,,,,,,
4:26,501.728245,501.71098,0.003441097,500.85549,0.173949744,,0.003441106,0.00029808,,,,,,
4:28,501.7944384,501.77043,0.004784515,500.885215,0.181194396,,0.004784509,0.000576403,,,,,,
4:30,501.8606319,501.83272,0.005561685,500.91636,0.188154209,,0.005561684,0.000779074,,,,,,
4:32,502.1412758,502.11223,0.005784396,501.056115,0.216106672,,0.005784388,0.000843658,,,,,,
4:34,502.4219198,502.39305,0.005746122,501.196525,0.243897559,,0.005746127,0.000833465,,,,,,
4:36,502.7025637,502.67615,0.005254341,501.338075,0.271430623,,0.00525434,0.000697684,,,,,,
4:38,502.9832076,502.9608,0.004454948,501.4804,0.298778881,,0.00445494,0.000502101,,,,,,
4:40,503.2638516,503.24592,0.003563057,501.62296,0.326049963,,0.003563061,0.000321542,,,,,,
4:42,503.5444955,503.5377,0.001349535,501.76885,0.352629314,,0.001349533,4.61788E-05,,,,,,
4:44,503.8251394,503.82739,0.000446694,501.913695,0.379386468,,0.000446703,5.0652E-06,,,,,,
4:46,504.1057834,504.11283,0.001397846,502.056415,0.406535388,,0.001397842,4.96546E-05,,,,,,
4:48,504.3864273,504.39767,0.002228983,502.198835,0.433713554,,0.002228985,0.000126398,,,,,,
4:50,504.6670712,504.68189,0.002936343,502.340945,0.46092292,,0.002936352,0.000219597,,,,,,
4:52,504.9477152,504.96472,0.00336764,502.48236,0.488239698,,0.003367636,0.000289163,,,,,,
4:54,505.2283591,505.24749,0.003786582,502.623745,0.515532047,,0.003786585,0.000365991,,,,,,
4:56,505.509003,505.52819,0.003795571,502.764095,0.542998836,,0.00379558,0.000368141,,,,,,
4:58,505.789647,505.80829,0.003685923,502.904145,0.570494477,,0.00368592,0.000347561,,,,,,
5:00,506.0702909,506.08991,0.003876751,503.044955,0.597809426,,0.003876754,0.000384909,,,,,,
5:02,505.8080971,505.82859,0.004051524,502.914295,0.572114625,,0.004051517,0.000419959,,,,,,
5:04,505.5459032,505.56661,0.004095926,502.783305,0.546458429,,0.004095929,0.000428772,,,,,,
5:06,505.2837094,505.30529,0.004270993,502.652645,0.520710316,,0.004270987,0.000465722,,,,,,
5:08,505.0215155,505.04262,0.004178927,502.52131,0.495069106,,0.004178931,0.0004454,,,,,,
5:10,504.7593217,504.77836,0.003771764,502.38918,0.469558777,,0.003771758,0.000362457,,,,,,
5:12,504.4971278,504.50488,0.001536616,502.25244,0.444935695,,0.001536619,6.00966E-05,,,,,,
5:14,504.234934,504.22814,0.001347382,502.11407,0.420610286,,0.001347388,4.61584E-05,,,,,,
5:16,503.9727401,503.95487,0.00354585,501.977435,0.395915283,,0.003545847,0.00031934,,,,,,
5:18,503.7105463,503.68569,0.004934634,501.842845,0.370788603,,0.00493464,0.000617836,,,,,,
5:20,503.4483524,503.41976,0.005679316,501.70988,0.345312958,,0.005679311,0.000817525,,,,,,
5:22,503.1861586,503.15661,0.005872294,501.578305,0.319534545,,0.0058723,0.00087312,,,,,,
5:24,502.9239647,502.89466,0.005826869,501.44733,0.29360993,,0.005826865,0.000858765,,,,,,
5:26,502.6617709,502.63485,0.005355663,501.317425,0.267445423,,0.005355669,0.000724735,,,,,,
5:28,502.399577,502.37639,0.004615255,501.188195,0.241119232,,0.004615251,0.000537637,,,,,,
5:30,502.1373832,502.11898,0.003664968,501.05949,0.214661014,,0.003664973,0.000338678,,,,,,
5:32,502.2471393,502.23955,0.001511071,501.119775,0.224464056,,0.001511069,5.75975E-05,,,,,,
5:34,502.3568954,502.35875,0.000369171,501.179375,0.234399171,,0.00036918,3.43954E-06,,,,,,
5:36,502.4666516,502.47311,0.001285343,501.236555,0.24481159,,0.001285339,4.17109E-05,,,,,,
5:38,502.5764077,502.58703,0.002113566,501.293515,0.255263216,,0.002113569,0.000112833,,,,,,
5:40,502.6861639,502.7004,0.002832015,501.3502,0.265765003,,0.002832006,0.000202667,,,,,,
5:42,502.79592,502.8121,0.003218008,501.40605,0.276428257,,0.003218005,0.000261792,,,,,,
5:44,502.9056761,502.92423,0.003689335,501.462115,0.287044106,,0.00368934,0.000344247,,,,,,
5:46,503.0154323,503.03425,0.003740987,501.517125,0.297865076,,0.003740979,0.000354106,,,,,,
5:48,503.1251884,503.143,0.003540193,501.5715,0.308807517,,0.003540192,0.000317253,,,,,,
5:50,503.2349445,503.25393,0.003772685,501.626965,0.319528586,,0.003772691,0.000360449,,,,,,
5:52,503.3447007,503.36465,0.003963354,501.682325,0.330265859,,0.003963348,0.000397975,,,,,,
5:54,503.4544568,503.47477,0.004034764,501.737385,0.34105802,,0.004034764,0.000412626,,,,,,
5:56,503.5642129,503.58524,0.004175646,501.79262,0.351810723,,0.004175654,0.000442139,,,,,,
5:58,503.6739691,503.69453,0.004082189,501.847265,0.3626759,,0.004082184,0.000422751,,,,,,
6:00,503.7837252,503.80217,0.003661252,501.901085,0.373700083,,0.003661254,0.000340211,,,,,,
6:02,503.3084968,503.3157,0.001431175,501.65785,0.327959256,,0.00143117,5.18861E-05,,,,,,
6:04,502.8332683,502.82567,0.001511105,501.412835,0.282485943,,0.001511097,5.77342E-05,,,,,,
6:06,502.3580399,502.33973,0.003644792,501.169865,0.236519535,,0.003644791,0.000335252,,,,,,
6:08,501.8828115,501.85738,0.005067213,500.92869,0.190108423,,0.005067219,0.000646761,,,,,,
6:10,501.407583,501.37867,0.005766374,500.689335,0.143246338,,0.005766367,0.000835962,,,,,,
6:12,500.9323546,500.90257,0.005945833,500.451285,0.096034843,,0.005945833,0.000887122,,,,,,
6:14,500.4571262,500.42733,0.00595379,500.213665,0.048647764,,0.005953797,0.000887814,,,,,,
