time,Actual,Simulation,MAE,MSE,-0.046438257,0.162064326,,MAE %,MSE %,MRD,Coe,R-square
6:52,12.45951,12.46529,0.046390267,3.34E-05,-0.00578,0.00578,,,,,,
6:54,12.1096,12.339995,1.902581423,0.053081856,-0.230395,0.230395,,,,,,
6:56,12.22029,12.38282,1.33000117,0.026416001,-0.16253,0.16253,,,,,,
6:58,12.23387,12.367145,1.089393626,0.017762226,-0.133275,0.133275,,,,,,
7:00,12.39849,12.481735,0.671412406,0.00692973,-0.083245,0.083245,,,,,,
7:02,12.51776,12.588655,0.566355322,0.005026101,-0.070895,0.070895,,,,,,
7:04,12.4409,12.603095,1.303724007,0.026307218,-0.162195,0.162195,,,,,,
7:06,12.29488,12.55172,2.088999649,0.065966786,-0.25684,0.25684,,,,,,
7:08,12.21962,12.53205,2.556789818,0.097612505,-0.31243,0.31243,,,,,,
7:10,12.44323,12.62902,1.493101068,0.034517924,-0.18579,0.18579,,,,,,
7:12,12.6766,12.72971,0.41896092,0.002820672,-0.05311,0.05311,,,,,,
7:14,12.7769,12.792925,0.125421659,0.000256801,-0.016025,0.016025,,,,,,
7:16,13.10114,12.941745,1.216649849,0.025406766,0.159395,0.159395,,,,,,
7:18,12.77986,12.84211,0.487094538,0.003875063,-0.06225,0.06225,,,,,,
7:20,13.45336,13.16449,2.147195942,0.083445877,0.28887,0.28887,,,,,,
7:22,13.52532,13.216075,2.286415405,0.09563247,0.309245,0.309245,,,,,,
7:24,13.65413,13.2722,2.797175653,0.145870525,0.38193,0.38193,,,,,,
7:26,13.6377,13.26632,2.723186461,0.137923104,0.37138,0.37138,,,,,,
7:28,13.26404,13.095775,1.268580312,0.02831311,0.168265,0.168265,,,,,,
7:30,13.15782,13.045555,0.853218846,0.01260343,0.112265,0.112265,,,,,,
7:32,13.52602,13.211005,2.328955598,0.09923445,0.315015,0.315015,,,,,,
7:34,13.37131,13.146975,1.677733894,0.050326192,0.224335,0.224335,,,,,,
7:36,13.31133,13.11032,1.510066988,0.04040502,0.20101,0.20101,,,,,,
7:38,13.32214,13.118165,1.531097857,0.041605801,0.203975,0.203975,,,,,,
7:40,13.35729,13.124175,1.745226764,0.054342603,0.233115,0.233115,,,,,,
7:42,13.29109,13.09573,1.469856874,0.03816553,0.19536,0.19536,,,,,,
7:44,13.27007,13.086635,1.382321269,0.033648399,0.183435,0.183435,,,,,,
7:46,13.30737,13.110115,1.482298907,0.038909535,0.197255,0.197255,,,,,,
7:48,13.34131,13.121325,1.648901045,0.0483934,0.219985,0.219985,,,,,,
7:50,13.36323,13.130985,1.737940603,0.05393774,0.232245,0.232245,,,,,,
7:52,13.273,13.08467,1.418895502,0.035468189,0.18833,0.18833,,,,,,
