time,Actual,Stope,Station,General station,,105 flow,,98,102,105,109,113
12:50,13.45317,13.45317,13.45198,13.45317,1,5.342592593,22.01336806,4.399305556,3.520023148,5.342592593,3.554398148,5.197048611
12:52,13.22371,13.22371,13.19593,13.22371,1,5.342592593,21.93611111,4.399305556,3.520023148,5.342592593,3.554398148,5.119791667
12:54,13.20279,13.20279,13.09194,13.20279,1,5.342592593,21.96041667,4.399305556,3.520023148,5.342592593,3.554398148,5.144097222
12:56,13.26738,13.26738,13.26084,13.26738,1,5.364583333,22.03153935,4.4140625,3.566840278,5.364583333,3.552951389,5.133101852
12:58,13.26721,13.26721,13.20996,13.26721,1,5.364583333,22.05208333,4.4140625,3.566840278,5.364583333,3.552951389,5.153645833
13:00,13.24741,13.24741,13.21448,13.24741,1,5.364583333,22.05555556,4.4140625,3.566840278,5.364583333,3.552951389,5.157118056
13:02,13.1988,13.1988,13.14783,13.1988,1,5.364583333,22.05034722,4.4140625,3.566840278,5.364583333,3.552951389,5.151909722
13:04,13.16232,13.16232,13.1261,13.16232,1,5.348958333,21.96189236,4.3984375,3.517447917,5.348958333,3.564236111,5.1328125
13:06,13.12904,13.12904,13.07673,13.12904,1,5.348958333,21.99140625,4.3984375,3.517447917,5.348958333,3.564236111,5.162326389
13:08,13.12679,13.12679,13.08559,13.12679,1,5.348958333,21.97751736,4.3984375,3.517447917,5.348958333,3.564236111,5.1484375
13:10,13.16156,13.16156,13.08988,13.16156,1,5.348958333,21.97838542,4.3984375,3.517447917,5.348958333,3.564236111,5.149305556
13:12,13.21818,13.21818,13.18351,13.21818,1,5.354166667,22.01302083,4.403645833,3.575520833,5.354166667,3.513888889,5.165798611
13:14,13.17012,13.17012,13.1484,13.17012,1,5.354166667,21.953125,4.403645833,3.575520833,5.354166667,3.513888889,5.105902778
13:16,13.23687,13.23687,13.1234,13.23687,1,5.354166667,21.95833333,4.403645833,3.575520833,5.354166667,3.513888889,5.111111111
13:18,13.29151,13.29151,13.30794,13.29151,1,5.354166667,21.97569444,4.403645833,3.575520833,5.354166667,3.513888889,5.128472222
13:20,13.25748,13.25748,13.18068,13.25748,1,5.360243056,21.95399306,4.399305556,3.545138889,5.360243056,3.529513889,5.119791667
13:22,13.25197,13.25197,13.21563,13.25197,1,5.360243056,21.95399306,4.399305556,3.545138889,5.360243056,3.529513889,5.119791667
13:24,13.19068,13.19068,13.16342,13.19068,1,5.360243056,21.96701389,4.399305556,3.545138889,5.360243056,3.529513889,5.1328125
13:26,13.12925,13.12925,13.06454,13.12925,1,5.360243056,21.93055556,4.399305556,3.545138889,5.360243056,3.529513889,5.096354167
13:28,13.11526,13.11526,13.0737,13.11526,1,5.394965278,22.12673611,4.409722222,3.652777778,5.394965278,3.546875,5.122395833
13:30,13.07675,13.07675,13.03774,13.07675,1,5.394965278,22.06597222,4.409722222,3.652777778,5.394965278,3.546875,5.061631944
13:32,13.05796,13.05796,13.00233,13.05796,1,5.394965278,22.06568287,4.409722222,3.652777778,5.394965278,3.546875,5.061342593
13:34,13.06577,13.06577,13.0168,13.06577,1,5.394965278,22.09982639,4.409722222,3.652777778,5.394965278,3.546875,5.095486111
13:36,13.1105,13.1105,13.05755,13.1105,1,5.431423611,22.12413194,4.4296875,3.6484375,5.431423611,3.525173611,5.089409722
13:38,13.15673,13.15673,13.10022,13.15673,1,5.431423611,22.13194444,4.4296875,3.6484375,5.431423611,3.525173611,5.097222222
13:40,13.1717,13.1717,13.14766,13.1717,1,5.431423611,22.14930556,4.4296875,3.6484375,5.431423611,3.525173611,5.114583333
13:42,13.06891,13.06891,13.03649,13.06891,1,5.431423611,22.14756944,4.4296875,3.6484375,5.431423611,3.525173611,5.112847222
13:44,13.0247,13.0247,12.94988,13.0247,1,5.453125,22.16145833,4.419270833,3.6640625,5.453125,3.503472222,5.121527778
13:46,13.03155,13.03155,12.99917,13.03155,1,5.453125,22.14409722,4.419270833,3.6640625,5.453125,3.503472222,5.104166667
13:48,13.00748,13.00748,12.95912,13.00748,1,5.453125,22.13715278,4.419270833,3.6640625,5.453125,3.503472222,5.097222222
13:50,12.9477,12.9477,12.92238,12.9477,1,5.453125,22.16666667,4.419270833,3.6640625,5.453125,3.503472222,5.126736111
13:52,12.95445,12.95445,12.86227,12.95445,1,5.473090278,22.20746528,4.446180556,3.664930556,5.473090278,3.502604167,5.120659722
13:54,12.91296,12.91296,12.90901,12.91296,1,5.473090278,22.18489583,4.446180556,3.664930556,5.473090278,3.502604167,5.098090278
13:56,12.95338,12.95338,12.86438,12.95338,1,5.473090278,22.18836806,4.446180556,3.664930556,5.473090278,3.502604167,5.1015625
13:58,12.94126,12.94126,12.92373,12.94126,1,5.473090278,22.20225694,4.446180556,3.664930556,5.473090278,3.502604167,5.115451389
