time,Actual,Simulation,MAE,MSE,0.21989575,0.430133972,MAE %,MSE ,MR %,Coef,R-square
5:48,40.825,40.85847,0.081984078,0.001120241,-0.03347,0.03347,,,,,
5:50,40.9125,41.06885,0.382157042,0.024445322,-0.15635,0.15635,,,,,
5:52,41.2,41.3064,0.258252427,0.01132096,-0.1064,0.1064,,,,,
5:54,40.9125,40.89602,0.040281088,0.00027159,0.01648,0.01648,,,,,
5:56,40.9125,40.86102,0.125829514,0.00265019,0.05148,0.05148,,,,,
5:58,40.6875,40.67305,0.035514593,0.000208802,0.01445,0.01445,,,,,
6:00,40.6875,40.60559,0.2013149,0.006709248,0.08191,0.08191,,,,,
6:02,40.7125,40.6601,0.128707399,0.00274576,0.0524,0.0524,,,,,
6:04,40.5125,40.49263,0.049046591,0.000394817,0.01987,0.01987,,,,,
6:06,40.6875,40.80744,0.29478341,0.014385604,-0.11994,0.11994,,,,,
6:08,40.8625,40.9179,0.135576629,0.00306916,-0.0554,0.0554,,,,,
6:10,40.7125,40.79158,0.194240098,0.006253646,-0.07908,0.07908,,,,,
6:12,41.2,41.05939,0.341286408,0.019771172,0.14061,0.14061,,,,,
6:14,40.3875,40.38216,0.013221913,2.85E-05,0.00534,0.00534,,,,,
6:16,40.5125,40.45203,0.149262573,0.003656621,0.06047,0.06047,,,,,
6:18,40.5375,40.57416,0.090434783,0.001343956,-0.03666,0.03666,,,,,
6:20,40.8,40.79161,0.020563725,7.04E-05,0.00839,0.00839,,,,,
6:22,40.3875,40.24555,0.351470133,0.020149803,0.14195,0.14195,,,,,
6:24,40.625,40.67834,0.131298462,0.002845156,-0.05334,0.05334,,,,,
6:26,40.6875,40.69505,0.018556068,5.70E-05,-0.00755,0.00755,,,,,
6:28,40.775,40.83465,0.146290619,0.003558123,-0.05965,0.05965,,,,,
6:30,41,40.98524,0.036,0.000217858,0.01476,0.01476,,,,,
6:32,40.9375,40.8961,0.101129771,0.00171396,0.0414,0.0414,,,,,
6:34,41.15,41.06912,0.19654921,0.006541574,0.08088,0.08088,,,,,
6:36,41.2625,41.1588,0.251317782,0.01075369,0.1037,0.1037,,,,,
6:38,41.55,41.59883,0.117521059,0.002384369,-0.04883,0.04883,,,,,
6:40,41.2375,41.13229,0.255131858,0.011069144,0.10521,0.10521,,,,,
6:42,41.0625,41.01958,0.104523592,0.001842126,0.04292,0.04292,,,,,
6:44,42.3625,42.57367,0.498483328,0.044592769,-0.21117,0.21117,,,,,
6:46,42.8,42.92817,0.299462617,0.016427549,-0.12817,0.12817,,,,,
6:48,43.4,43.20877,0.44062212,0.036568913,0.19123,0.19123,,,,,
6:50,43.4625,43.21778,0.563060109,0.059887878,0.24472,0.24472,,,,,
6:52,43.375,43.03937,0.773786744,0.112647497,0.33563,0.33563,,,,,
6:54,42.65,42.10078,1.287737397,0.301642608,0.54922,0.54922,,,,,
6:56,43.1125,42.74719,0.847341258,0.133451396,0.36531,0.36531,,,,,
6:58,43,42.61929,0.885372093,0.144940104,0.38071,0.38071,,,,,
7:00,43.4,43.08119,0.734585253,0.101639816,0.31881,0.31881,,,,,
7:02,43.6625,43.33119,0.758797595,0.109766316,0.33131,0.33131,,,,,
7:04,43.175,42.65867,1.195900405,0.266596669,0.51633,0.51633,,,,,
7:06,43,42.51291,1.132767442,0.237256668,0.48709,0.48709,,,,,
7:08,42.675,42.24358,1.010943175,0.186123216,0.43142,0.43142,,,,,
7:10,43.5125,42.18925,3.041080149,1.750990563,1.32325,1.32325,,,,,
7:12,43.9,43.19799,1.599111617,0.49281804,0.70201,0.70201,,,,,
7:14,44.1,42.93657,2.638163265,1.353569365,1.16343,1.16343,,,,,
7:16,45.2,44.35748,1.863982301,0.70983995,0.84252,0.84252,,,,,
7:18,44.0375,43.31888,1.631836503,0.516414704,0.71862,0.71862,,,,,
7:20,45.4875,44.61059,1.927804342,0.768971148,0.87691,0.87691,,,,,
7:22,45.4875,44.49919,2.172706788,0.976756656,0.98831,0.98831,,,,,
7:24,45.8625,44.78765,2.343635868,1.155302523,1.07485,1.07485,,,,,
7:26,45.8375,44.79722,2.2694955,1.082182478,1.04028,1.04028,,,,,
7:28,45.2,43.96765,2.726438053,1.518686523,1.23235,1.23235,,,,,
7:30,44.675,43.54082,2.538735311,1.286364272,1.13418,1.13418,,,,,
7:32,45.1375,44.29532,1.865810025,0.709267152,0.84218,0.84218,,,,,
7:34,44.825,43.87017,2.130128277,0.911700329,0.95483,0.95483,,,,,
7:36,45,43.89959,2.445355556,1.210902168,1.10041,1.10041,,,,,
7:38,44.7375,43.7574,2.190779547,0.96059601,0.9801,0.9801,,,,,
7:40,45.1125,44.12254,2.194425048,0.980020802,0.98996,0.98996,,,,,
7:42,44.9625,44.0008,2.138893522,0.92486689,0.9617,0.9617,,,,,
7:44,44.875,43.7844,2.430306407,1.18940836,1.0906,1.0906,,,,,
7:46,44.475,43.53524,2.113007307,0.883148858,0.93976,0.93976,,,,,
7:48,44.5875,43.87618,1.595335015,0.505976142,0.71132,0.71132,,,,,
7:50,44.875,43.88849,2.198350975,0.97320198,0.98651,0.98651,,,,,
7:52,44.875,43.84806,2.288445682,1.054605764,1.02694,1.02694,,,,,
7:54,45.1125,44.28621,1.831620948,0.682755164,0.82629,0.82629,,,,,
7:56,45,44.0529,2.104666667,0.89699841,0.9471,0.9471,,,,,
7:58,45.425,44.34707,2.372988442,1.161933085,1.07793,1.07793,,,,,
8:00,45.3125,44.18081,2.497522759,1.280722256,1.13169,1.13169,,,,,
8:02,45.1375,44.11318,2.269332595,1.049231462,1.02432,1.02432,,,,,
8:04,45.1125,43.94266,2.593161541,1.368525626,1.16984,1.16984,,,,,
8:06,44.9125,43.81577,2.441925967,1.202816693,1.09673,1.09673,,,,,
8:08,44.6125,43.57634,2.322577753,1.073627546,1.03616,1.03616,,,,,
8:10,45.6875,44.67032,2.226385773,1.034655152,1.01718,1.01718,,,,,
8:12,45.025,44.00576,2.263720155,1.038850178,1.01924,1.01924,,,,,
8:14,44.85,43.6098,2.765217391,1.53809604,1.2402,1.2402,,,,,
8:16,44.9625,43.83368,2.51058104,1.274234592,1.12882,1.12882,,,,,
8:18,44.85,43.70262,2.55826087,1.316480864,1.14738,1.14738,,,,,
8:20,44.9625,44.08323,1.955562969,0.773115733,0.87927,0.87927,,,,,
8:22,44.875,43.86813,2.243721448,1.013787197,1.00687,1.00687,,,,,
8:24,44.3,43.45533,1.906704289,0.713467409,0.84467,0.84467,,,,,
8:26,45.05,43.96634,2.405460599,1.174318996,1.08366,1.08366,,,,,
8:28,45.1125,44.08515,2.277306733,1.055448023,1.02735,1.02735,,,,,
8:30,44.5375,43.5996,2.105865843,0.87965641,0.9379,0.9379,,,,,
8:32,44.675,43.78014,2.003044208,0.80077442,0.89486,0.89486,,,,,
8:34,44.6125,43.76938,1.889873914,0.710851334,0.84312,0.84312,,,,,
8:36,44.5625,43.58348,2.196959327,0.95848016,0.97902,0.97902,,,,,
8:38,45.2,44.22628,2.154247788,0.948130638,0.97372,0.97372,,,,,
8:40,44.9625,43.8918,2.381317765,1.14639849,1.0707,1.0707,,,,,
8:42,45.025,44.01091,2.252282066,1.028378528,1.01409,1.01409,,,,,
8:44,44.875,43.81859,2.354116992,1.116002088,1.05641,1.05641,,,,,
8:46,44.85,43.68136,2.605663322,1.36571945,1.16864,1.16864,,,,,
8:48,44.7375,43.62494,2.486862252,1.237789754,1.11256,1.11256,,,,,
8:50,44.325,43.41212,2.059514946,0.833349894,0.91288,0.91288,,,,,
8:52,45.025,44.18231,1.871604664,0.710126436,0.84269,0.84269,,,,,
8:54,44.3,43.39752,2.037200903,0.81447015,0.90248,0.90248,,,,,
8:56,44.9125,43.76039,2.565232396,1.327357452,1.15211,1.15211,,,,,
8:58,44.9625,43.98067,2.183664165,0.963990149,0.98183,0.98183,,,,,
9:00,44.3,43.35295,2.137810384,0.896903702,0.94705,0.94705,,,,,
9:02,44.5375,43.64873,1.995554308,0.789912113,0.88877,0.88877,,,,,
9:04,44.5375,43.61138,2.079416222,0.857698254,0.92612,0.92612,,,,,
9:06,44.675,43.79361,1.972893117,0.776848332,0.88139,0.88139,,,,,
9:08,44.7625,43.86329,2.008846691,0.808578624,0.89921,0.89921,,,,,
9:10,44.475,43.49101,2.212456436,0.96823632,0.98399,0.98399,,,,,
9:12,45,44.12101,1.953311111,0.77262342,0.87899,0.87899,,,,,
9:14,44.7,43.74023,2.147136465,0.921158453,0.95977,0.95977,,,,,
9:16,44.7,43.73956,2.148635347,0.922444994,0.96044,0.96044,,,,,
9:18,44.825,43.83611,2.20611266,0.977903432,0.98889,0.98889,,,,,
