time,Actual,Stope,Station,0.212227045
7:22,3.851281028,3.851281028,3.851281028,3.596133378
7:24,3.833264147,3.833264147,3.833264147,3.63460642
7:26,3.79541337,3.79541337,3.79541337,3.611810911
7:28,3.820205185,3.820205185,3.820205185,3.601847209
7:30,3.790326616,3.790326616,3.790326616,3.647559895
7:32,3.792430178,3.792430178,3.792430178,3.565926329
7:34,3.769253241,3.769253241,3.769253241,3.654598471
7:36,3.766187861,3.766187861,3.766187861,3.602251228
7:38,3.772485217,3.772485217,3.772485217,3.638045625
7:40,3.821153675,3.821153675,3.821153675,3.609320086
7:42,3.775364009,3.775364009,3.775364009,3.650853325
7:44,3.791908175,3.791908175,3.791908175,3.612683694
7:46,3.793971753,3.793971753,3.793971753,3.696559377
7:48,3.829972196,3.829972196,3.829972196,3.609202317
7:50,3.808774428,3.808774428,3.808774428,3.715770204
7:52,3.833901657,3.833901657,3.833901657,3.667915208
7:54,3.833508489,3.833508489,3.833508489,3.682857791
7:56,3.832853208,3.832853208,3.832853208,3.635185682
7:58,3.837744488,3.837744488,3.837744488,3.576903528
8:00,3.858187018,3.858187018,3.858187018,3.66129735
8:02,3.87417364,3.87417364,3.87417364,3.653508894
8:04,3.858446909,3.858446909,3.858446909,3.629580179
8:06,3.855665854,3.855665854,3.855665854,3.613998899
8:08,3.864819789,3.864819789,3.864819789,3.645350085
8:10,3.870555159,3.870555159,3.870555159,3.655156759
8:12,3.807346138,3.807346138,3.807346138,3.634664009
8:14,3.824532257,3.824532257,3.824532257,3.629026146
8:16,3.84079654,3.84079654,3.84079654,3.598268684
8:18,3.888469861,3.888469861,3.888469861,3.695785822
8:20,3.854046534,3.854046534,3.854046534,3.557213051
8:22,3.880653142,3.880653142,3.880653142,3.59119906
8:24,3.887690188,3.887690188,3.887690188,3.67654633
8:26,3.893312272,3.893312272,3.893312272,3.666036298
8:28,3.941518702,3.941518702,3.941518702,3.561716788
8:30,3.858853405,3.858853405,3.858853405,3.624998698
8:32,3.936305335,3.936305335,3.936305335,3.717757859
8:34,3.881617182,3.881617182,3.881617182,3.60332419
8:36,3.895844543,3.895844543,3.895844543,3.751611748
8:38,3.895016002,3.895016002,3.895016002,3.669230343
8:40,3.852022939,3.852022939,3.852022939,3.606216624
8:42,3.884811397,3.884811397,3.884811397,3.653798756
8:44,3.847493729,3.847493729,3.847493729,3.631305707
8:46,3.89847455,3.89847455,3.89847455,3.666082778
8:48,3.90288381,3.90288381,3.90288381,3.605084026
8:50,3.877139062,3.877139062,3.877139062,3.604813652
8:52,3.854321974,3.854321974,3.854321974,3.581756008
8:54,3.867052185,3.867052185,3.867052185,3.571722605
8:56,3.861183538,3.861183538,3.861183538,3.582083985
8:58,3.870661781,3.870661781,3.870661781,3.724001053
9:00,3.859168828,3.859168828,3.859168828,3.556525179
9:02,3.924630236,3.924630236,3.924630236,3.551092854
9:04,3.876199456,3.876199456,3.876199456,3.622272252
9:06,3.901946426,3.901946426,3.901946426,3.501234255
9:08,3.892083899,3.892083899,3.892083899,3.545952725
9:10,3.897086244,3.897086244,3.897086244,3.498433534
9:12,3.834574708,3.834574708,3.834574708,3.559131475
9:14,3.882512362,3.882512362,3.882512362,3.768481153
9:16,3.883192076,3.883192076,3.883192076,3.556111359
9:18,3.831984684,3.831984684,3.831984684,3.711063686
9:20,3.850927843,3.850927843,3.850927843,3.527148433
9:22,3.824814361,3.824814361,3.824814361,3.649269853
9:24,3.826280412,3.826280412,3.826280412,3.527855777
9:26,3.847942429,3.847942429,3.847942429,3.667244329
9:28,3.854646282,3.854646282,3.854646282,3.646201324
9:30,3.852325034,3.852325034,3.852325034,3.670194909
9:32,3.850499134,3.850499134,3.850499134,3.691821076
9:34,3.862125364,3.862125364,3.862125364,3.612516876
9:36,3.848475539,3.848475539,3.848475539,3.700608707
9:38,3.8192678,3.8192678,3.8192678,3.695004322
9:40,3.817335278,3.817335278,3.817335278,3.639872286
9:42,3.832677726,3.832677726,3.832677726,3.721268174
9:44,3.878371878,3.878371878,3.878371878,3.722571066
9:46,3.827728693,3.827728693,3.827728693,3.484360143
9:48,3.809594083,3.809594083,3.809594083,3.572842102
9:50,3.781836847,3.781836847,3.781836847,3.62563297
9:52,3.762747083,3.762747083,3.762747083,3.712449924
9:54,3.796221919,3.796221919,3.796221919,3.638250834
9:56,3.863746906,3.863746906,3.863746906,3.483721805
9:58,3.849981573,3.849981573,3.849981573,3.509055572
10:00,3.781390368,3.781390368,3.781390368,3.484396908
10:02,3.765794693,3.765794693,3.765794693,3.544370686
10:04,3.817915035,3.817915035,3.817915035,3.559501119
10:06,3.791657169,3.791657169,3.791657169,3.666009939
10:08,3.858646825,3.858646825,3.858646825,3.676581666
10:10,3.848297836,3.848297836,3.848297836,3.556182284
10:12,3.819487708,3.819487708,3.819487708,3.435803762
10:14,3.814225473,3.814225473,3.814225473,3.563894195
10:16,3.810182725,3.810182725,3.810182725,3.559405698
10:18,3.829399103,3.829399103,3.829399103,3.563304742
