time,Actual,Simulation,Savings,0.921059429,7.804575441
8:30,13.7059,13.00251,0.70339,5.132023435,
8:32,13.64629,12.99972,0.64657,4.738064338,
8:34,13.62291,13.00566,0.61725,4.530970255,
8:36,13.62247,13.06748,0.55499,4.074077609,
8:38,13.68726,13.01346,0.6738,4.922826044,
8:40,13.7056,13.03769,0.66791,4.873263484,
8:42,13.70404,13.014,0.69004,5.035303458,
8:44,13.70795,13.02788,0.68007,4.961135691,
8:46,13.7059,12.98032,0.72558,5.293924514,
8:48,13.70733,13.03383,0.6735,4.91342953,
8:50,13.72038,13.03139,0.68899,5.021653919,
8:52,13.70438,13.01477,0.68961,5.032040851,
8:54,13.72955,13.04832,0.68123,4.961779519,
8:56,13.70318,13.00286,0.70032,5.110638553,
8:58,13.70618,13.02661,0.67957,4.958128377,
9:00,13.72743,13.03048,0.69695,5.077061038,
9:02,13.72063,13.03785,0.68278,4.976302109,
9:04,13.72052,13.02869,0.69183,5.042301604,
9:06,13.72105,13.02632,0.69473,5.063242245,
9:08,13.72072,13.02244,0.69828,5.0892373,
9:10,13.72987,12.99246,0.73741,5.370844735,
9:12,13.71589,13.01638,0.69951,5.099997157,
9:14,13.72803,13.04335,0.68468,4.987459963,
9:16,13.7286,13.0226,0.706,5.142549131,
9:18,13.7247,13.06834,0.65636,4.782326754,
9:20,13.73909,13.05142,0.68767,5.005207768,
9:22,13.73199,13.03899,0.693,5.046610142,
9:24,13.72648,13.05459,0.67189,4.894845583,
9:26,13.73921,13.01523,0.72398,5.269444167,
9:28,13.74638,13.06397,0.68241,4.96428878,
9:30,13.75117,13.02767,0.7235,5.261370487,
9:32,13.73197,13.03983,0.69214,5.040354734,
9:34,13.74517,13.0671,0.67807,4.933151063,
9:36,13.74863,13.02694,0.72169,5.249177554,
9:38,13.74688,13.04817,0.69871,5.082680579,
9:40,13.76022,13.02246,0.73776,5.361542185,
9:42,13.74287,13.04033,0.70254,5.112032639,
9:44,13.74064,13.02861,0.71203,5.181927479,
9:46,13.73739,13.02988,0.70751,5.150250521,
9:48,13.74999,13.06913,0.68086,4.951712692,
9:50,13.73929,13.04606,0.69323,5.045602793,
9:52,13.7478,13.02489,0.72291,5.258368612,
9:54,13.74027,13.03445,0.70582,5.136871401,
9:56,13.74536,13.03295,0.71241,5.182912634,
9:58,13.76056,13.03136,0.7292,5.299202939,
10:00,13.75071,13.00404,0.74667,5.430046885,
10:02,13.75411,13.00928,0.74483,5.415326764,
10:04,13.7506,13.06578,0.68482,4.980291769,
10:06,13.7485,13.00342,0.74508,5.419354839,
10:08,13.75092,13.03198,0.71894,5.228304724,
10:10,13.74822,13.05756,0.69066,5.02363215,
10:12,13.75205,13.06003,0.69202,5.032122484,
10:14,13.75605,13.03227,0.72378,5.261539468,
10:16,13.76945,13.04964,0.71981,5.227587159,
10:18,13.76818,13.06041,0.70777,5.140621346,
10:20,13.7512,13.02504,0.72616,5.280702775,
10:22,13.75547,13.0795,0.67597,4.9141905,
10:24,13.76671,13.06773,0.69898,5.07732058,
10:26,13.78182,13.07265,0.70917,5.145691933,
10:28,13.76959,13.0875,0.68209,4.953597021,
10:30,13.75808,13.04277,0.71531,5.199199307,
10:32,13.77166,13.09258,0.67908,4.930995973,
10:34,13.76735,13.06223,0.70512,5.121682822,
10:36,13.76896,13.10754,0.66142,4.803703402,
10:38,13.77134,13.05466,0.71668,5.204141354,
10:40,13.77629,13.08581,0.69048,5.012089612,
10:42,13.77962,13.04519,0.73443,5.329827673,
10:44,13.77422,13.06602,0.7082,5.141488955,
10:46,13.77919,13.04391,0.73528,5.336162721,
10:48,13.78854,13.06606,0.72248,5.239713559,
10:50,13.79675,13.07746,0.71929,5.213474188,
10:52,13.77847,13.08245,0.69602,5.051504267,
10:54,13.79837,13.08007,0.7183,5.205687338,
10:56,13.67468,13.08619,0.58849,4.303501069,
10:58,13.68285,13.08528,0.59757,4.367291902,
11:00,13.67804,13.08424,0.5938,4.341265269,
11:02,13.63782,13.10015,0.53767,3.942492275,
11:04,13.63104,13.12145,0.50959,3.738452825,
11:06,13.59728,13.11289,0.48439,3.562403657,
11:08,13.72198,13.09442,0.62756,4.57339247,
11:10,13.73488,13.09563,0.63925,4.654208846,
11:12,13.71381,13.08503,0.62878,4.585013209,
11:14,13.66516,13.08424,0.58092,4.251102805,
11:16,13.67007,13.13648,0.53359,3.903345045,
11:18,13.62561,13.11565,0.50996,3.742658127,
11:20,13.68296,13.12702,0.55594,4.063009758,
11:22,13.60377,13.06035,0.54342,3.99462796,
11:24,13.6283,13.14764,0.48066,3.526925589,
11:26,13.58603,13.07428,0.51175,3.766736861,
11:28,13.46696,13.15265,0.31431,2.33393431,
11:30,13.60369,13.09431,0.50938,3.744425226,
11:32,13.46153,13.05375,0.40778,3.029224761,
11:34,13.41277,13.14473,0.26804,1.998394068,
11:36,13.4375,13.14033,0.29717,2.211497674,
11:38,13.52586,13.12943,0.39643,2.930904209,
11:40,13.4981,13.13777,0.36033,2.669486817,
